,images,items_images,prompt,image_name,items_captions
0,https://a.lmcdn.ru/resize/cms/600x866/get_the_look/gallery_images/IMG_1361_11.23_7.jpg,https://a.lmcdn.ru/img236x341/R/T/RTLADA298201_21317322_1_v1_2x.jpg,"Есть брюки такого же фиолетового цвета, как на картинке?  Интересует похожий крой - свободные, широкие.
",Брюки,"На изображении представлены мужские брюки из вельвета.

**Материал:** Вельвет.  Вероятно, хлопковый или смесовый.

**Цвет:** Темно-фиолетовый, насыщенный оттенок.

**Дополнительные детали:** Брюки прямого кроя с завышенной талией. Пояс на резинке с кулиской.  Отсутствие карманов на боках и задних частях брюк, что создает минималистичный образ.  Ткань имеет лёгкое рубчатое плетение, характерное для вельвета. Брюки имеют ровный подол, без манжет.  Длина брючин  до щиколотки.

**Бренд:** Невозможно распознать.

**Примерная стоимость:** 2500-3500 рублей.
"
1,https://a.lmcdn.ru/resize/cms/600x866/get_the_look/gallery_images/IMG_2552_12.23.jpg,https://a.lmcdn.ru/img236x341/R/T/RTLADB369801_21403465_1_v1.jpg,"Найди похожую поясную сумку как на фото,  серебристогоцвета  с длумя карманами спереди.
",Сумка поясная,"На изображении представлена сумка-клатч необычной формы, напоминающей очки.

**Материал:**  Искусственная кожа (или аналогичный материал с металлическим отливом).

**Цвет:** Серебристый, металлический.

**Дополнительные детали:**  Клатч имеет два отдельных кармашка, расположенных симметрично.  Форма  прямоугольная, закругленная по краям.  Отсутствуют дополнительные элементы декора, застежки или ремешки.  Материал  имеет глянцевую поверхность, отражающую свет.  Сумка выглядит компактной и стильной, подходящей для вечернего выхода или торжественного мероприятия.

**Бренд:** Невозможно распознать.

**Примерная стоимость:** 2500-3500 рублей.
"
2,https://a.lmcdn.ru/resize/cms/600x866/get_the_look/gallery_images/3__спорт_3_NOW05_11.23_2.jpg,https://a.lmcdn.ru/img236x341/R/T/RTLADC284901_21544367_1_v1.jpg,"Подыщипохожий топ такого же нежно-голубого цвета как на этом фото
",Топ,"Предмет на изображении: укороченный свитер.

1. **Материал:** Мохер или смесь мохера с другими волокнами (например, шерсть, акрил).  Текстура пушистая, мягкая.

2. **Цвет:** Нежно-голубой, светлый оттенок синего.

3. **Дополнительные детали:** Свитер имеет свободный крой, длинные рукава, слегка удлиненные манжеты.  Вырез горловины круглый,  неглубокий. Длина укороченная, оголяет часть живота.  Ткань кажется тонкой, но плотной.  Свитер имеет однородную текстуру без видимых узоров или декоративных элементов.

4. **Бренд:** Невозможно распознать.

5. **Примерная стоимость:** 2500-3500 рублей.
"
3,https://a.lmcdn.ru/resize/cms/600x866/get_the_look/gallery_images/Ж_вечеринка_1_042024_1_.jpg,https://a.lmcdn.ru/img236x341/R/T/RTLAAM746301_14678052_1_v2.jpg,"Подыщи похожий лак для волос, как на втором изображении, но,  пожалуйста, укажи варианты в другом дизайне флакона.  На первом изображении нет никакого лака для волос.
",Лак для волос,"Предмет на изображении - это спрей для волос L'Oréal Professionnel Infinum Pure.

1. **Материал:** Алюминиевый баллончик с пластиковой крышкой.

2. **Цвет:** Серебристый металлический баллончик с черными и белыми надписями.

3. **Дополнительные детали:**  На баллончике изображено название бренда ""L'ORÉAL PROFESSIONNEL PARIS"" и название продукта ""Infinum Pure"".  Указано, что это гипоаллергенный продукт.  На этикетке присутствует информация о свойствах спрея, вероятно,  обеспечивающего фиксацию и защиту волос.  Баллончик имеет стандартный размер и форму, удобную для использования.

4. **Бренд:** L'Oréal Professionnel

5. **Примерная стоимость:** 1200-1700 рублей.
"
4,https://a.lmcdn.ru/resize/cms/600x866/get_the_look/gallery_images/IMG_7645_08_2024_5_.jpg,https://a.lmcdn.ru/img236x341/R/T/RTLADQ035501_24257700_1_v1_2x.jpg,"Найди, пожалуйста, туфли, похожие на те, что на втором фото, но  цвета кардигана с первого изображения.
",Туфли,"На изображении представлены женские черные дерби на тракторной подошве.

**Материал:** Натуральная кожа.

**Цвет:** Черный.

**Дополнительные детали:** Классический дизайн дерби с круглой закрытой шнуровкой.  Подошва толстая, массивная, рифленая для хорошего сцепления.  Обувь имеет низкий, но массивный каблук.  Простой дизайн, без лишних декоративных элементов.  Выглядят стильно и практично. Подходят как к классическому, так и к повседневному стилю.


**Бренд:** Не возможно распознать.

**Примерная стоимость:** 3000-4000 рублей.
"
5,https://a.lmcdn.ru/resize/cms/600x866/get_the_look/gallery_images/IMG_4994_10.23_7.jpg,https://a.lmcdn.ru/img236x341/M/P/MP002XW14R5U_21528748_1_v3.jpg,"Помоги найти свитшот, похожий на тот, что на картинке — такого же светло-оливкового цвета, но без надписи.
",Свитшот,"На изображении представлен женский свитшот  оливково-зеленого цвета.

**Материал:** Хлопок (вероятно, футер).  Мягкий на ощупь, с начесом внутри.

**Цвет:** Светло-оливковый, приглушенный, пастельный оттенок зелёного.

**Дополнительные детали:** Свитшот свободного кроя, с круглым вырезом горловины. На груди расположен крупный принт ""University of New Orleans"" в стиле ретро, выполненный в светло-бежевых тонах.  По нижней части рисунка находится небольшой логотип в виде круга.  Рукава длинные, манжеты и низ свитшота оформлены  резинкой.  Ткань выглядит плотной и качественной.


**Бренд:** Невозможно распознать.

**Примерная стоимость:** 2500-3000 руб.
"
6,https://a.lmcdn.ru/resize/cms/600x866/get_the_look/gallery_images/10-10-2024-13-26-35__абянова_10_2024..jpg,https://a.lmcdn.ru/img236x341/R/T/RTLADV297601_24907991_1_v1.jpg,"Есть юбка, кйк еа фото, только без подклада?
",Юбка,"На изображении представлена юбка из черного кружева.

**Материал:** Кружево, вероятно, полиэстер или полиамид. Подкладка, скорее всего, из тонкого хлопчатобумажного материала.

**Цвет:** Черный

**Дополнительные детали:** Юбка макси-длины, имеет свободный крой. Верхняя часть юбки выполнена из плотного материала, нижняя — из полупрозрачного кружева с цветочным узором. Края юбки обработаны кружевом.  Виден небольшой подгиб вверху юбки.  Модель демонстрирует юбку, надетую поверх другого предмета одежды либо как самостоятельный элемент.

**Бренд:** Невозможно распознать.

**Примерная стоимость:** 2500-3500 рублей.
"
7,https://a.lmcdn.ru/resize/cms/600x866/get_the_look/gallery_images/офис_10_М_11.22.jpg,https://a.lmcdn.ru/img236x341/R/T/RTLABE078201_16447249_1_v1_2x.jpg,"Найдите брюки такого же бежевого цвета, как на фотографии, но без складок.
",Брюки,"На изображении представлены мужские брюки из вельвета.

**Материал:** Вельвет.  Вероятно, хлопковый или смесовой (хлопок с добавлением других волокон, например, полиэстера, для повышения износостойкости).

**Цвет:**  Светло-коричневый, бежево-коричневый,  оттенок ""хаки"".

**Дополнительные детали:** Брюки прямого кроя, классической посадки. Застегиваются на пуговицу и молнию. Имеются передние карманы.  Подвороты на штанинах. Ткань средней плотности, с характерным рельефом вельветовой структуры.


**Бренд:** Невозможно распознать.

**Примерная стоимость:** 3500-4500 рублей.
"
8,https://a.lmcdn.ru/resize/cms/600x866/get_the_look/gallery_images/IMG_3773_052024.jpg,https://a.lmcdn.ru/img236x341/R/T/RTLADK237901_23395659_1_v2.jpg,"Извини, но я ищу солнцезащитные очки. На фото что-то другое.  Может, найдешь похожие по форме, но темные, как на втором фото?
",Очки солнцезащитные,"На изображении представлены солнцезащитные очки.

1. **Материал:**  Оправа, предположительно, выполнена из пластика или ацетата целлюлозы. Линзы — поликарбонат или другой подобный материал.


2. **Цвет:** Оправа имеет градиентный переход цвета от темно-коричневого к черному. Линзы коричневого цвета.


3. **Дополнительные детали:** Очки имеют овальную форму с заостренными краями. Дужки тонкие и гладкие.  Линзы имеют плавный градиент, темнеющий к краям. Дизайн элегантный и минималистичный.  Отсутствуют видимые логотипы или брендинговые элементы на оправе.


4. **Бренд:** Невозможно распознать.


5. **Примерная стоимость:** 1000-1400 рублей.
"
9,https://a.lmcdn.ru/resize/cms/600x866/get_the_look/gallery_images/МЖ_на_каждый_день_маскот_3__042024_1_.jpg,https://a.lmcdn.ru/img236x341/R/T/RTLADI507201_22831041_1_v1_2x.jpg,"Найди юбку такого же бежевого цвета, как на прикреплённом фото.
",Юбка,"На изображении представлена бежевая юбка миди.

1. **Материал:** Хлопок (предположительно плотный хлопок или хлопок с добавлением других волокон для придания формы).

2. **Цвет:** Светло-бежевый, песочный.

3. **Дополнительные детали:** Юбка имеет А-силуэт, высокую посадку, застегивается на молнию сзади.  Пояс юбки оформлен складками.  Длина миди, доходит примерно до середины икры. Видны небольшие складки на поясе  и по бокам, создающие объем.  Юбка выглядит достаточно простой, но стильной, подойдет под различные образы.

4. **Бренд:** Невозможно распознать.

5. **Примерная стоимость:** 2500-3500 рублей.
"
